Código;Ação;Tipo;Qtde. Teórica;Part. (%)
Quantidade Teórica Total;;;74.590.397.521;100
VALE3;VALE;ON      NM;2.837.320.141;11,331
ITUB4;ITAUUNIBANCO;PN      N1;4.757.466.114;6,868
PETR4;PETROBRAS;PN      N2;4.566.457.037;5,91
B3SA3;B3;ON      NM;1.930.877.944;5,418
BBDC4;BRADESCO;PN  EJ  N1;4.261.649.634;5,282
PETR3;PETROBRAS;ON      N2;3.307.982.840;4,358
ABEV3;AMBEV S/A;ON  EJ;4.355.174.839;3,112
MGLU3;MAGAZ LUIZA;ON  EJ  NM;2.668.955.512;3,041
WEGE3;WEG;ON  EJ  NM;741.148.001;2,563
ITSA4;ITAUSA;PN      N1;4.515.538.171;2,419
BBAS3;BRASIL;ON      NM;1.283.197.221;2,274
GNDI3;INTERMEDICA;ON      NM;588.176.771;2,104
NTCO3;GRUPO NATURA;ON      NM;841.083.922;2,016
SUZB3;SUZANO S.A.;ON      NM;724.921.241;1,938
RENT3;LOCALIZA;ON      NM;592.069.308;1,864
JBSS3;JBS;ON      NM;1.500.315.048;1,621
LREN3;LOJAS RENNER;ON  EJ  NM;785.417.914;1,562
BBDC3;BRADESCO;ON  EJ  N1;1.147.260.246;1,268
RADL3;RAIADROGASIL;ON  EJ  NM;1.072.645.150;1,227
UGPA3;ULTRAPAR;ON      NM;1.087.056.490;1,178
BRDT3;PETROBRAS BR;ON  EJ  NM;1.164.958.126;1,177
VVAR3;VIAVAREJO;ON  ATZ NM;1.595.083.594;1,177
GGBR4;GERDAU;PN  EJ  N1;995.903.643;1,112
RAIL3;RUMO S.A.;ON      NM;1.218.081.171;1,07
EQTL3;EQUATORIAL;ON      NM;1.010.286.085;1,068
BPAC11;BTGP BANCO;UNT     N2;236.093.794;1,013
LAME4;LOJAS AMERIC;PN      N1;835.451.478;1,003
KLBN11;KLABIN S/A;UNT     N2;788.757.519;0,953
VIVT3;TELEF BRASIL;ON  EDJ;444.219.852;0,943
CSNA3;SID NACIONAL;ON;642.398.790;0,934
BBSE3;BBSEGURIDADE;ON      NM;671.584.841;0,909
BRFS3;BRF SA;ON      NM;811.759.800;0,817
ENEV3;ENEVA;ON      NM;287.844.670;0,816
HAPV3;HAPVIDA;ON      NM;1.085.256.490;0,756
SANB11;SANTANDER BR;UNT;355.666.691;0,728
BTOW3;B2W DIGITAL;ON      NM;201.549.295;0,696
SBSP3;SABESP;ON      NM;339.999.111;0,69
CCRO3;CCR SA;ON      NM;1.115.695.556;0,686
BRAP4;BRADESPAR;PN      N1;222.075.664;0,646
HYPE3;HYPERA;ON  EJ  NM;410.147.968;0,641
CMIG4;CEMIG;PN      N1;969.723.092;0,634
TOTS3;TOTVS;ON  EJ  NM;480.228.410;0,63
ELET3;ELETROBRAS;ON      N1;358.018.408;0,6
ENGI11;ENERGISA;UNT     N2;250.679.709;0,599
AZUL4;AZUL;PN      N2;327.283.207;0,587
SULA11;SUL AMERICA;UNT     N2;279.572.852;0,566
TIMS3;TIM;ON  EJ  NM;808.485.985;0,541
PCAR3;P.ACUCAR-CBD;ON      NM;157.635.935;0,54
EGIE3;ENGIE BRASIL;ON  EDJ NM;254.792.279;0,511
IRBR3;IRBBRASIL RE;ON      NM;1.255.327.516;0,469
YDUQ3;YDUQS PART;ON      NM;300.483.575;0,452
QUAL3;QUALICORP;ON      NM;283.467.789;0,451
CSAN3;COSAN;ON      NM;129.314.042;0,447
CPLE6;COPEL;PNB EJ  N1;128.297.543;0,439
LCAM3;LOCAMERICA;ON  EJ  NM;323.763.077;0,433
PRIO3;PETRORIO;ON      NM;135.160.900;0,433
ELET6;ELETROBRAS;PNB     N1;242.977.127;0,411
COGN3;COGNA ON;ON      NM;1.847.994.874;0,391
BRML3;BR MALLS PAR;ON      NM;843.728.684;0,381
CYRE3;CYRELA REALT;ON      NM;281.154.098;0,378
FLRY3;FLEURY;ON      NM;303.800.430;0,375
GOAU4;GERDAU MET;PN  EJ  N1;693.699.918;0,357
CRFB3;CARREFOUR BR;ON      NM;391.758.726;0,347
USIM5;USIMINAS;PNA     N1;513.729.947;0,343
TAEE11;TAESA;UNT     N2;218.568.274;0,333
EMBR3;EMBRAER;ON      NM;736.143.105;0,298
MULT3;MULTIPLAN;ON  EJ  N2;276.848.567;0,297
BRKM5;BRASKEM;PNA     N1;264.640.575;0,285
CPFE3;CPFL ENERGIA;ON      NM;187.714.249;0,279
MRVE3;MRV;ON      NM;298.796.441;0,259
MRFG3;MARFRIG;ON      NM;368.864.634;0,244
ENBR3;ENERGIAS BR;ON      NM;250.403.441;0,225
CIEL3;CIELO;ON  EJ  NM;1.112.196.638;0,203
EZTC3;EZTEC;ON      NM;95.756.217;0,188
CVCB3;CVC BRASIL;ON      NM;172.756.818;0,162
GOLL4;GOL;PN      N2;137.725.788;0,157
IGTA3;IGUATEMI;ON      NM;85.796.919;0,146
BEEF3;MINERVA;ON      NM;239.331.676;0,111
ECOR3;ECORODOVIAS;ON      NM;171.109.276;0,104
JHSF3;JHSF PART;ON      NM;288.952.690;0,103
HGTX3;CIA HERING;ON  EDJ NM;126.186.408;0,099
;;;;
